Marque,Année_Velo,Kilométrage,Prix Vente (€),Prix Neuf (€),Année de la vente,Mois de la vente,Age du vélo,Décôte/neuf (%),Lien,Source,Date_Scan
Felt,2021,0,2049.0,4369.0,2026,June,5,53.1,https://upway.fr/products/felt-fr-advanced-ultegra-rr7na0,Upway,08/06/2026
Conway,2023,0,1749.0,3026.0,2026,June,3,42.2,https://upway.fr/products/conway-grv-100-rr7xc6,Upway,08/06/2026
Trek,2023,0,3299.0,8500.0,2026,June,3,61.2,https://upway.fr/products/trek-checkpoint-slr-7-rr7es0,Upway,08/06/2026
Giant,2020,0,872.0,2199.0,2026,June,6,60.3,,EBR Ventes,08/06/2026
Cevelo,2023,0,3849.0,8599.0,2026,June,3,55.2,https://upway.fr/products/cevelo-soloist-ultegra-di2-rr7ry7,Upway,08/06/2026
Ghost,2023,0,1099.0,1849.0,2026,June,3,40.6,https://upway.fr/products/ghost-road-rage-essential-rr7xc0,Upway,08/06/2026
Stevens,2023,0,1149.0,2359.0,2026,June,3,51.3,https://upway.fr/products/stevens-vapor-2x11-rr8dh7,Upway,08/06/2026
Kellys,2023,0,799.0,1648.0,2026,June,3,51.5,https://upway.fr/products/kellys-arc-50-rr7hd8,Upway,08/06/2026
Giant,2020,0,872.0,2199.0,2026,June,6,60.3,,EBR Ventes,08/06/2026
Cannondale,2022,0,2299.0,5199.0,2026,June,4,55.8,https://upway.fr/products/cannondale-topstone-carbon-2-l-rr1nx4,Upway,08/06/2026
Wilier,2023,0,1299.0,2100.0,2026,June,3,38.1,https://upway.fr/products/wilier-jareen-grx-2x10-rr7yt1,Upway,08/06/2026
Trek,2022,0,1749.0,4395.0,2026,June,4,60.2,https://upway.fr/products/trek-domane-sl-rr3ms4,Upway,08/06/2026
Orbea,2022,0,2299.0,4899.0,2026,June,4,53.1,https://upway.fr/products/orbea-orca-m20i-team-rr7hf5,Upway,08/06/2026
Bmc,2022,0,2649.0,5294.0,2026,June,4,50.0,https://upway.fr/products/bmc-unrestricted-01-three-rr1qm1,Upway,08/06/2026
Trek,2023,0,2249.0,4602.0,2026,June,3,51.1,https://upway.fr/products/trek-fx-sport-6-carbon-rr6hj0,Upway,08/06/2026
Rose,2023,0,2249.0,4599.0,2026,June,3,51.1,https://upway.fr/products/rose-backroad-plus-grx-rx600-rr3gy4,Upway,08/06/2026
Schindelhauer,2022,0,1299.0,3994.0,2026,June,4,67.5,https://upway.fr/products/schindelhauer-f10-rr4ss2,Upway,08/06/2026
