Date Vente,Année Vente,Mois Vente,Marque,Année Vélo,Kilométrage,Prix Vente (€),Prix Neuf (€),Lien,Source
13/04/2026,2026,Avril,PRIX,2024,92024272,90,8999,https://mint-bikes.com/products/focus-focus-jam-2-sl-9-9,PRIX EN BAISSE (-100€) FOCUS Jam² SL 9.9 2024 272km De 1.78m à 1.89m 60.0Nm 430Wh 2 649 € Prix régul
13/04/2026,2026,Avril,PRIX,2024,20241500,81,5599,https://mint-bikes.com/products/cannondale-moterra-neo-3-2024,PRIX EN BAISSE (-100€) CANNONDALE Moterra Neo 3 750Wh 2024 1500km De 1.72m à 1.85m 85.0Nm 750Wh 2 84
13/04/2026,2026,Avril,Nouveauté,2021,20217000,102,9499,https://mint-bikes.com/products/rocky-mountain-instinct-powerplay-c70,Nouveauté ROCKY MOUNTAIN Instinct Powerplay C70 672Wh 2021 7000km De 1.7m à 1.77m 108.0Nm 672Wh 2 99
13/04/2026,2026,Avril,PRIX,2023,20232159,66,4744,https://mint-bikes.com/products/ktm-macina-team-2023-t-xl,PRIX EN BAISSE (-200€) KTM Macina Team XL 750Wh 2023 2159km De 1.92m à 2.0m 85.0Nm 750Wh 1 949 € Pri
13/04/2026,2026,Avril,Nouveauté,2024,7502024557,95,4299,https://mint-bikes.com/products/cube-reaction-hybrid-slx-750-l-2024,Nouveauté CUBE Reaction Hybrid SLX 750 2024 557km De 1.7m à 1.82m 85.0Nm 750Wh 2 799 € Prix régulier
13/04/2026,2026,Avril,Nouveauté,2024,2620242,43,2000,https://mint-bikes.com/products/giant-talon-e-junior-26-202,Nouveauté GIANT Talon E+ Junior 26 2024 2km De 1.44m à 1.64m 30.0Nm 250Wh 1 249 € Prix régulier 2 00
13/04/2026,2026,Avril,Nouveauté,2023,2023644,102,4999,https://mint-bikes.com/products/scott-strike-eride-920-evo-l,Nouveauté SCOTT Strike eRide 920 EVO 2023 644km De 1.78m à 1.89m 85.0Nm 625Wh 2 999 € Prix régulier 
13/04/2026,2026,Avril,Nouveauté,2024,82024266,80,4299,https://mint-bikes.com/products/haibike-trekking-8-2024-s,Nouveauté HAIBIKE Trekking 8 2024 266km De 1.61m à 1.72m 85.0Nm 750Wh 2 349 € Prix régulier 4 299 € 
13/04/2026,2026,Avril,GIANT,2023,202325,37,2000,https://mint-bikes.com/products/giant-talon-e-junior-26-2024,GIANT Talon E+ Junior 2023 25km De 1.44m à 1.64m 30.0Nm 250Wh 1 299 € Prix régulier 2 000 € neuf -35
13/04/2026,2026,Avril,Nouveauté,2022,20227,102,5499,https://mint-bikes.com/products/bh-atom-e-suv-pro-se,Nouveauté BH Atom E SUV PRO-SE 2022 7km De 1.75m à 1.87m 85.0Nm 720Wh 2 999 € Prix régulier 5 499 € 
13/04/2026,2026,Avril,Nouveauté,2025,22025113,122,6599,https://mint-bikes.com/products/cannondale-moterra-carbon-2-l,Nouveauté CANNONDALE Moterra Neo Carbon 2 2025 113km De 1.72m à 1.82m 85.0Nm 750Wh 3 599 € Prix régu
13/04/2026,2026,Avril,PRIX,2022,1020221061,95,6799,https://mint-bikes.com/products/haibike-adventr-fs-10,PRIX EN BAISSE (-300€) HAIBIKE Adventr FS 10 2022 1061km De 1.68m à 1.8m 85.0Nm 720Wh 2 799 € Prix r
13/04/2026,2026,Avril,Nouveauté,2025,20252,149,5499,https://mint-bikes.com/products/specialized-turbo-levo-4-comp,Nouveauté SPECIALIZED Turbo Levo 4 Comp 2025 2km De 1.73m à 1.88m 105.0Nm 840Wh 4 399 € Prix régulie
13/04/2026,2026,Avril,Nouveauté,2023,3020232715,56,3999,https://mint-bikes.com/products/orbea-urrun-30-l,Nouveauté ORBEA Urrun 30 2023 2715km De 1.75m à 1.9m 60.0Nm 540Wh 1 649 € Prix régulier 3 999 € neuf
13/04/2026,2026,Avril,Nouveauté,2024,22024468,122,5850,https://mint-bikes.com/products/giant-trance-x-advanced-e-2-s,Nouveauté GIANT Trance X Advanced E+ 2 2024 468km De 1.63m à 1.74m 85.0Nm 800Wh 3 599 € Prix régulie
